timestamp,name,text
[00:00:05.16],Liz,"Okay so, I don't have to use the chat, I am just gonna use the human chat, right?"
[00:00:12.24],Maggie,"Yeah, the old fashion way "
[00:00:14.27],Liz,"Unofficially I am going to talk to you, well okay. This is lovely, I am ready"
[00:00:21.24],Maggie,"Excellent. Yeah so, just to kind of, ah the eagles eyes view, or where it will land a little bit, ah what kind of brought us to this point was, we've been looking more closely to into the new terrain project and the terrain side of things. And a big part of that is ah and or really I, within that reviewing the evaluation documents that Theresa sent us about new gen thing and we were specifically reviewing the survey responses from participants about their hub groups, which we thought were interesting and somewhat all over the place and so we were curious to see a little bit from your perspective about your experience with them, or your impression, your takeaways from the. And with that more specific or specific interview questions. Jean is there anything I am missing that you wanna add one? [Jean is on mute] Oh, I cant hear you."
[00:01:32.17],Liz,Sorry I couldn't hear Jean either
[00:01:36.21],Maggie,Oh we still can't hear you
[00:01:40.27],Jean,"I muted myself because I was gonna be on the keyboard and you would have to hear the keys go clack clack clack. This was been an evolution in our thinking, Liz "
[00:01:57.03],Liz,"I am very interested, tell me more"
[00:01:59.17],Jean,"Well, just two things, we had that really really good talk with you and we have tried to knit together, what Teresa did. with respect to the survey work and other material that she send in to the department of ed. And then I- it dawned on me one day that a person we cannot leave out of this conversation is Sydney Kern. Because then she, when the program, the project was finished, she started project sing as you know. Which is a clear example of someone taking, a component of new terrain and um, I am blanking out, the next iteration. [Maggie: the projects] the (sand) and moving that, into a teacher education setting, and so that provided us we've had, you know, I think at least two of you have done more Maggie. Two calls? Two calls with her possible a third coming up, and what we discovered is she did some survey work herself so we have been looking to unpack that a little bit but it's clear that program had some elements of success to it and we were able to I think, we're gonna be able to sort leave all of that together, because it's great not only to see a model program being and active but also replicated in a way that needs particular audience "
[00:04:04.24],Liz,absolutely 
[00:04:06.01],Jean,"Then in that conversation with Cindy, again it dawned on me that we had these hub groups and they didn't really get the gravitas, the traction we may wanted to have but they were there, and they were a part of the new terrain, and so we wanted to circle back with you today and your thoughts on, Maggie had a lot of questions, I'll put myself on mute but that's kind of where we had been, since we talked with you and it's neat to see all the puzzle pieces kind of coming together "
[00:04:55.12],Liz,"Right, you know really good use of the term evolution Jean, because you talking over a period of time, when did we start, in 2013 I think?"
[00:05:07.03],Jean, We started 2013/2014
[00:05:17.16],Liz,"So you know you're looking over a period 6 years, a while and NGSX was evolving, NGSS was evolving, we haven't been dealing with stationary parts at all. You know for describing the project, you just have to keep that in the foreground sort of how much fluctuation there was in outcome, inputs were also fluctuating. "
[00:05:55.01],Jean," Well that's true, that is absolutely true but what I think each iteration there was greater definition [Liz: Huge] in the beginning to occur, and you know, we've got a think about that that's an important part of the evolution to capture "
[00:06:16.29],Liz,"Right, what we thought we needed at the beginning evolved over time, we didn't know what we needed, we knew what some of our constrains were, challenges were, definitely I would say our goals shifted, as the needs became more clear to us and I think probably need to continue to have, so that's a great opener in terms of the conversation about what I was thinking about hubs back in 2013, and what worked and what didn't work because of it, that might be the subject of a whole another paper is the evolution of the process, certainly we were building the airplane as we were flying it and adjusting and changing as we saw outcomes, so let's circle back in time to where we were in 2013"
[00:07:27.06],Jean,Maggie you take it over and I'll go back on mute 
[00:07:31.06],Maggie,Sounds good
[00:07:33.17],Liz,"Right, I just pressed on one. That's right what was your vision to the purpose of this subgroups?"
[00:07:40.23],Maggie,"Exactly, yeah "
[00:07:42.03],Liz,"Alright that was a opener, so I am going back now and in my mind you know as the state's science leader back then. What shaped my context was also development and adoption of the common core and I am not gonna try to not to do a lot of side bar walk but I am like context is everything it's very interesting. So just in brief, the release of common core standards happen in a very compressed way, well fairly in a very different way than NGSX, quite deliberately so, I happen to be the state lead apartment or common core adaption, so I was heavily involved in um, planning, there wasn't much planning for it because it was a given that every state was going to adapt you had to if you wanted to race to the top grant so the political context at the time was you're gonna take this standards and you're gonna join a testing (consursion) and maybe you will get a lot of money but it was certainly forced into the states policy, when at that time in my experience as the state leader, I was quite aware that our teacher preparation program were operating as very independent entities, Connecticut is a type of state, where everybody school districts, everybody likes there own space and nobody likes a state to tell them what to do-"
[00:10:03.04],Maggie,So just a-
[00:10:03.04],Liz,And I don't know- say that again
[00:10:05.23],Maggie,"Just a quick question, so independent you mean with a, that more state centered approach "
