timestamp,name,text
[00:00:04.19],Jean,"Uh BlueJeans has this wonderful ability to uh to record, so uh do you have Liz the- the set of questions in front of you?"
[00:00:15.14],Liz,"I sure do, and I took some time as I was sitting outside by the pool yesterday afternoon[laughters] to write down some of my thoughts because well first of all it's been three and a half years since I stepped out out the fray um and the period that we were reflecting on it is much more than a moment in time, in other words you know it's the adoption for Connecticut of NGSX in November 2015 was- was the culmination of many years of preliminary work so- you know I had to you know go back through my recollection of when did that start and what were the pivotal moments, so it was- it was actually a nice journey for me to take, um and especially--"
[00:01:08.00],Jean,OV:Well then you're ready to kind of dive into that first question[Liz:I-am.] adoption and- and as you said what were the challenges what were- what was the particularity of the situation in Connecticut in adopting NGSX cus I do remember this was a slog um.
[00:01:29.10],Liz,"Well you know what I think um[1.5-second-pause] I think in hindsight that the tuyeres that elapsed between NGSX publication in 2013 and Connecticut adoption in 2015 they were really essential years we were certainly not among the lead states that participated in NGSX development and as the state science leader um I knew that that could have put us at a disadvantage, we weren't in the spotlight we weren't perceived as uh one of the [air-quote]leading states um and I didn't want us to be on the backburner I didn't want Connecticut to be an after thought um, and it was that strategic thinking um and- and our MSP grant that- that led to the connection between Sarah Michaels and me, um and I think it must have been- let's see when did you roll out the very early stage of NGSX as one of the first BCSSE meetings? Am I right?"
[00:02:58.00],Jean,That's right that's- that's- when we uh Brian and Sarah and- uh I was there[Liz:OV] and we did it was part- it was that initial rollout and then I remember that was the beginning of our conversation.
[00:03:08.17],Liz,OV:I remember [indistinct] it was (BU)
[00:03:16.00],Liz,"That was the beginning of our conversation, and I'll- because [laughs]this (tongue's) kind of funny I'm gonna be blunt with you somehow I needed to get your attention[1-5.second-pause] as Connecticut represented it because there were all these other lead states science leaders who were buzzing around and I- I could sense it everbody's excitement after your presentation and you had limited slots for how many states, was it 7 maybe I remember? That you were willing to take in that first."
[00:03:52.00],Jean, Well it started out with 10 that was our but- but we took on more.
[00:03:57.29],Liz,"[laughs]We do. So I thought well how am I gonna get to the front of the line um uh so in any case that was the beginning both seeing NGSX and I think at the same conference is when Sarah did her presentation about the commnalities between common core literacy and NGSX and she did accountable talk[Jean:Right] and that was my- I didn't know Sarah before that but I was so impressed by her presentation and the videos and the teacher's talk moves so I think I approached her and said you know what teachers in Connecticut need this kind of mind expansion, and I contacted her uh to see if she'd be interested in being a partner on the MSP grant so I did a little bit of priming the pump cus MSP is a grant program is a very funky system um you know they're supposed to be competitive grants and as a competitive grant there's only so much- uh that the state can say this is what we want, so within those limitations and restrictions I reached out to her in short she said oh you know I'm so flat out busy I got all these NGSX stuff going on and I'm thinking what- what was going on and what are you doing you know and how is that working um, and that's what I think led to what turned out to be I think in your mind Jean the sort of um unique or distinctive focus that we in Connecticut wanted to take which is my higher ed science faculty really need to get- to dive into the framework the NGSX the teacher's talk moves we- we need to up the ante on how our new teachers are being trained, and right now we have this very um amorphous group of people who teach science course and I think that intrigued you Jean this whole- you know we need to take a pre-service teacher approach um as well as focusing on the in-service teachers, so we always have that 2 prongs effort and that was the NEXUS force that was the beginning, seeing NGSX meeting you and Jean and thinking I need to get my higher ed people in on this somehow, and I think- I think that got the foot in the door for us because I don't know that anybody else was either able to or was thinking along those lines at that point, this goes way back this goes back to--"
[00:07:16.15],Jean,"OV:No I- you're- you're right I think what was unique as you pointed out is this coupling of- uh partnership around the MSP grant that we eventually worked through and developed the details of, um but it was always in the forefront that teacher education wasn't the only audience wasn't the only group we were working to bring in to the experience of NGSX but it was also the classroom teacher, but you were very clear you wanted to start with the teachers at the community and that was unique there was no doubt about it."
[00:08:04.11],Liz,"Well true and with the- with the new terrain project- because of the MSP requirements you had to have partnerships between higher ed faculty and in-service teachers so it was a natural fit um it accomplished more goals than we initially um might have thought, um and maybe I should save the rest for another question cus I don't wanna you know wander all over the place but uh. Just trying to return to the- let's see to the- to the first question, um what was the education policy and budget situation when Connecticut adopted, and- and knowing that we weren't elite states knowing that at that time when NGSX was published in 2013 our state and most other states were deeply immersed in trying to implement the Common Core state standards, um we adopted Common core in 2010 um it quickly became controversial after the adoption uh it became difficult to help teachers understand what the shift in teaching's gonna be and so in our state and in many others by 2013 that was the focus there was Common core and there was no uh no interest in saying oh let's adopt more standards right now too that would be great for teachers um when you say it was a long slow slog to get to NGSX adoption, it had to be it was very deliberate we were- we were you know still birthing the baby of Common core teachers were um frustrated teachers were under pressure uh there were looming new state tests that would be based on Common core and all of a suddent teachers evaluations in hiring and firing were gonna be based on those state test scores, it was a very difficult time for teachers and for administrators because they were suddenly gonna be held very accountable for standards that they barely knew, so [laughs]the idea of adopting new science standards at that same time was really unthinkable, so the benefit of having waited 2 years was that it gave us time not to ignore it but to plan for implementation and be ready for adopting and implementing when the adoption occured, so- and I can talk more about that it's kind of hard to separate everything into-"
[00:11:06.27],Jean,"I- I know well the other- the other probably little piece is that the timing of the release of the framework and then the release of NGSX and I think we have to remember this framework came out kinda gave this large roadmap, and the particular what that roadmap might look like in terms of standards awaited this birthing uh to use your word of the NGSX document and once it came out there was great confusion how you would pull that into your classroom in some reasonable way and where was the curriculum for all this I mean all natural questions rolled out so, I think your point though is in waiting I think the framework was relat- was released in 12 these uh NGSX was realeased 13 and we began our work with you early in 15."
[00:12:24.00],Liz,No 2013 to 15 was new terrain (ASSENT) started I- I was part of the award for the (ASSENT) MSP that was my last MSP by the time you geared up I retired in early 2016.
[00:12:40.28],Jean,Exactly but I- boy thank you for correcting me so it's really 2013 that our work began and we had that initial meeting at Sacred Heart.
[00:12:53.01],Liz,"We'll always remember all of those meetings[laughters.] You know what in hindsight as I- going through it to try and bring lot of higher ed faculty and eagles together in a room united with a common purpose which had never been done before in our state and I don't know if it's been done in any state, um I- I was probably blissfully naive[laughs] maybe I knew it would be a challenge, obviously it was challenging in part because of the format of MSP grants in other words I as the state leader didn't have the permission to award a grant to anybody, I had roles to play in terms of um saying what the state wanted and I could write very rigid parameters you must know this and you must have this so I could write parameters in RFP that basically um only certain people could fit um but the award goes to Sacred Heart university and that's where the PI is housed and although it was frustrating I know to all involved, in the end there were a lot of long phone calls with- with you guys[laughs] uh with the Sacred Heart PI oh many nights and weekends um in the final analysis there was more good than harm that came out of it, and the very best part was (ASSENT) as a continuation of the network that was started by bringing together (IG) faculty. Um I want to talk more about that and maybe there's another question where I'll fit it in but I- I don't want to forget to get back to your question which actually gave me a chuckle was there a prevailing sense that teachers would need support in making these kinds of teaching shifts that we envisioned in NGSX, um and again because this was a process of many years from let's say 2012 through 2015 and beyond um our understanding of the framework and NGSX and their implications evolved over that time and continues to evolve it shifts where the emphasis is, I don't think when NGSX first came out that the focus was on phenonmenon and yet over the a year or two after it was published we said yeah explaining phenonmenon is what this really means this really means using your sciencce knowledge and practices not just for their own sake but to explain a phenonmenon that you might not have encountered before the application that took time to evolve your- that focus and emphasis on equity in science instruction yes it was there yes it was one of the epenthesese but heck we had 13 epenthesese which one do you[laughs] which one is gonna be the one you know, so I can see that over time it ebbs and flows um so um I just wanna say that no there was not a prevailing sense among the education community in our state of the enormous shift that this would mean for instruction, there's always a state of inertia in education that you know what we've been doing is pretty good and we don't need to throw out the baby with the bath water um and so no I don't think anybody realized that at first this was gonna be a very different way of teaching, we BCSSC was really an invaluable resource for us in Connecticut and I'm sure that it was for all of the states that (sent) leadership teams I mean it was really- I think it was a brillian conception on the part of all of the people that organized it and I know you were a part of it so I'm not just saying it to you know to be complimentary but it helped tremendously I think that--"
[00:17:44.00],Jean,OV:Yeah the stated needed something and um.
