PageName,StudyGroup,EntryDate,UserName,Comment,bigrams,most_probable_topic,topic_terms,topic_probability
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:41:00pm EDT,ChFranske,The step most illuminating to was the look at the science practices being used.  Here we can see evidence of students engaging in real science.  A skilled facilitator would be able to take these conversations and use them to help students continue to develop their thinking and reasoning behind the science concepts they are learning about it class.,"['step_illuminating', 'look', 'science_practices', 'used', 'see', 'evidence', 'students', 'engaging', 'real', 'science', 'skilled', 'facilitator', 'would', 'able', 'take', 'conversations', 'use', 'help', 'students', 'continue', 'develop', 'thinking', 'reasoning', 'behind', 'science', 'concepts', 'learning', 'class']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.9709973335266113
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:42:30pm EDT,NaSutton,"Focusing on productive talk was helpful because it showed a model of what it can look like in a classroom.   It also indicated the very clear and explicit ways that a teacher can facilitate that type of talk.  It gave examples of tools I can use.  It was helpful to see the practices and how they are so integrated with each other\, and to have another model of how they can look like in action.  Focusing in on one student was a reminder that (even if it might be easy to pass over a student&#039;s muddled and unclear explanation)\, that student has plenty to contribute\, and may need support and structures to help their voice be heard.<br /><br />The first step was most illuminating to me\, because I was struck by how clearly and obvious the teacher was in establishing and pointing the students towards discussion goals.  I want to learn from that in my own classroom.  The goals were very clear through the teacher&#039;s facilitation.","['focusing_productive', 'talk', 'helpful', 'showed', 'model', 'look', 'like', 'classroom', 'also', 'indicated', 'clear', 'explicit', 'ways', 'teacher', 'facilitate', 'type', 'talk', 'gave', 'examples', 'tools', 'use', 'helpful', 'see', 'practices', 'integrated', 'another', 'model', 'look', 'like', 'action', 'focusing_one', 'student', 'reminder', 'even', 'might', 'easy', 'pass', 'student', 'muddled', 'unclear', 'explanation', 'student', 'plenty', 'contribute', 'may', 'need', 'support', 'structures', 'help', 'voice', 'heard', 'first', 'step_illuminating', 'struck', 'clearly', 'obvious', 'teacher', 'establishing', 'pointing', 'students', 'towards', 'discussion', 'goals', 'want', 'learn', 'classroom', 'goals', 'clear', 'teacher', 'facilitation']",1,"['students', 'productive_talk', 'student', 'think', 'scientific_practices', 'mathias', 'understand', 'really', 'looking', 'see']",0.46283042430877686
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:42:58pm EDT,GeGarrett,"Focusing on each of the three angles helped me to understand the many different ways in which this conversation was going well. It sounded like productive talk from the beginning\, but when we looked closer it also included lots of scientific practices\, presumably indicating a valuable discussion\, and diving into one student&#039;s turn allowed us to see that even a response which felt less clear on the surface was still indicative of a productive conversation because that student really did have a clear claim\, was using scientific practices and knew what he was talking about.<br /><br /><br /><br />I appreciated the focus on Mathais&#039;s turn because I think it can be very easy in our classrooms to skim over students who respond like this or to rush them along. (Our students do both of those things to each other as well.)  I appreciated that no one rushed him and that students were clearly still engaging with what he said rather than checking out because he sounded less clear - several students raised their hands to respond to him and the student who spoke next was clear that they were both agreeing that volume\, rather than weight was responsible. ","['focusing', 'three', 'angles', 'helped', 'understand', 'many', 'different_ways', 'conversation', 'going', 'well', 'sounded', 'like', 'productive_talk', 'beginning', 'looked', 'closer', 'also', 'included', 'lots', 'scientific_practices', 'presumably', 'indicating', 'valuable', 'discussion', 'diving', 'one_student', 'turn', 'allowed_us', 'see', 'even', 'response', 'felt', 'less', 'clear', 'surface', 'still', 'indicative', 'productive', 'conversation', 'student', 'really', 'clear', 'claim_using', 'scientific_practices', 'knew_talking', 'appreciated', 'focus', 'mathais', 'turn', 'think', 'easy', 'classrooms', 'skim', 'students', 'respond', 'like', 'rush', 'along', 'students', 'things', 'well', 'appreciated', 'one', 'rushed', 'students', 'clearly_still', 'engaging', 'said', 'rather', 'checking', 'sounded', 'less', 'clear', 'several', 'students', 'raised', 'hands', 'respond', 'student', 'spoke', 'next', 'clear', 'agreeing', 'volume', 'rather', 'weight', 'responsible']",1,"['students', 'productive_talk', 'student', 'think', 'scientific_practices', 'mathias', 'understand', 'really', 'looking', 'see']",0.7241722941398621
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:43:05pm EDT,RoStainton,"All the steps were really illuminating. The first showed how good discussion is established and encouraged. The second shows how many of the practices come out in small snippets and indicate a students developing understanding and proficiency in science and engineering practices. The last one illuminates how easy it could be to miss a students understanding in a discussion. The student gave a good response to the initial prompt\, but missed a key word\, that if missed could easily change the teachers understanding of the students progress.","['steps', 'really', 'illuminating', 'first', 'showed', 'good', 'discussion', 'established', 'encouraged', 'second', 'shows', 'many', 'practices', 'come', 'small', 'snippets', 'indicate', 'students', 'developing', 'understanding', 'proficiency', 'science_engineering', 'practices', 'last', 'one', 'illuminates', 'easy', 'could', 'miss', 'students', 'understanding', 'discussion', 'student', 'gave', 'good', 'response', 'initial', 'prompt', 'missed', 'key', 'word', 'missed', 'could', 'easily', 'change', 'teachers', 'understanding', 'students', 'progress']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.9832469820976257
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:43:27pm EDT,AmJenkyn,"Productive talk showed me that all of the students were engaged. They were demonstrating their learning orally\, which could be used as a formative assessment. There were many scientific practices used throughout this session: especially Explanation\, Asking Questions\, and Argumentation. Focusing on one student&#039;s turn was the most valuable part for me\, as this is a challenge I come upon with younger learners. I frequently have to think very\, very hard about what they are trying to say. This practice showed me that even when they seem like they might not understand\, that their actually could be understanding going on. I actually see this as an issue of equity. It&#039;s not fair to have assumptions about our students.","['productive_talk', 'showed', 'students', 'engaged', 'demonstrating', 'learning', 'orally', 'could', 'used', 'formative_assessment', 'many', 'scientific_practices', 'used', 'throughout', 'session', 'especially', 'explanation', 'asking_questions', 'argumentation', 'focusing_one', 'student_turn', 'valuable', 'part', 'challenge', 'come', 'upon', 'younger', 'learners', 'frequently', 'think', 'hard', 'trying_say', 'practice', 'showed', 'even', 'seem', 'like', 'might', 'understand', 'actually', 'could', 'understanding', 'going', 'actually', 'see', 'issue', 'equity', 'fair', 'assumptions', 'students']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.9835485816001892
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:43:42pm EDT,MePowell,It helped to see through the stutters to get to his point. All three were very helpful because they helped get to the end point of figuring out what the student&#039;s thought process was. The most illuminating was the focusing in on the student. You can assume he didn&#039;t know what he wanted to say because of all the stutters and &quot;ums&quot; but if you take those out you can see that he really knew what he wanted to say to the group. This skill will be very helpful to pay attention to as a teacher and trying to facilitate group discussions. ,"['helped_see', 'stutters', 'get', 'point', 'three', 'helpful', 'helped', 'get', 'end', 'point', 'figuring', 'student', 'thought_process', 'illuminating', 'focusing', 'student', 'assume', 'know', 'wanted', 'say', 'stutters', 'ums', 'take', 'see', 'really', 'knew', 'wanted', 'say', 'group', 'skill', 'helpful', 'pay', 'attention', 'teacher', 'trying', 'facilitate', 'group', 'discussions']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.9784392714500427
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:43:48pm EDT,KrRzemien,The first step helped you see how the teacher was guiding and prompting the discussion to ensure a productive conversation.  The second step helped you see the many types of scientific practices that could occur in a single discussion.  The third step helped you to have empathy/patience for yourself and your students as you practice productive talk.  I particularly found the first step the most illuminating since it highlighted simple ways (with practice) to encourage productive discussion.,"['first', 'step', 'helped_see', 'teacher', 'guiding', 'prompting', 'discussion', 'ensure', 'productive', 'conversation', 'second', 'step', 'helped_see', 'many', 'types', 'scientific_practices', 'could', 'occur', 'single', 'discussion', 'third_step', 'helped', 'empathy/patience', 'students', 'practice', 'productive_talk', 'particularly', 'found', 'first', 'step_illuminating', 'since', 'highlighted', 'simple', 'ways', 'practice', 'encourage', 'productive', 'discussion']",5,"['students', 'student', 'really', 'discussion', 'volume', 'important', 'weight', 'different', 'classroom', 'may']",0.9784455895423889
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:44:35pm EDT,KaGingras,Looking at the three steps I thought it was interesting that we could really pick it a part.  I was able to see good productive talk and what that looks and sounds like along with really focusing on the scientific practices.  I see that it can really be a nice flow between the criteria of productive talk and a flow between the eight scientific practices. Really slowing down and analyzing what a particular student said was eye opening.  I was very confused with his words but once we took a closer look it made sense.  I think that the most illuminating step for me was number 3 because I was thinking that he was more focused on the weight and not the volume.  This activity was very helpful.,"['looking', 'three_steps', 'thought', 'interesting', 'could', 'really', 'pick', 'part', 'able', 'see', 'good', 'productive_talk', 'looks', 'sounds', 'like', 'along', 'really', 'focusing', 'scientific_practices', 'see', 'really', 'nice', 'flow', 'criteria', 'productive_talk', 'flow', 'eight', 'scientific_practices', 'really', 'slowing', 'analyzing', 'particular', 'student', 'said', 'eye', 'opening', 'confused', 'words', 'took', 'closer', 'look', 'made', 'sense', 'think', 'illuminating_step', 'number', '3', 'thinking', 'focused', 'weight_volume', 'activity', 'helpful']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.8979244828224182
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:44:40pm EDT,MiHarper,"How did the three different steps help you see more\, in different ways?<br /><br />Looking at productive talk helped me to view each individual&#039;s role in creating a rich discussion in the classroom that furthered understanding. Looking at the practices helped me to focus in on what I should be seeing\, scientifically\, during the discussion period. Examining one student&#039;s turn helped me to look deeply into meaning in terms of &quot;kid language&quot; and how a student might search for words but really have something valuable to say. <br /><br />Which step was the most illuminating for you?  Why?<br /><br />I personally learned the most from looking into each person&#039;s role in a discussion. It&#039;s very helpful to watch a teacher skillfully remind students of protocol while simultaneously clarifying and deepening the discussion.","['three_different', 'steps_help', 'see', 'different_ways', 'looking', 'productive_talk', 'helped', 'view', 'individual', 'role', 'creating', 'rich', 'discussion', 'classroom', 'furthered', 'understanding', 'looking', 'practices', 'helped', 'focus', 'seeing', 'scientifically', 'discussion', 'period', 'examining', 'one_student', 'turn', 'helped', 'look', 'deeply', 'meaning', 'terms', 'kid', 'language', 'student', 'might', 'search', 'words', 'really', 'something', 'valuable', 'say', 'step_illuminating', 'personally', 'learned', 'looking', 'person', 'role', 'discussion', 'helpful', 'watch', 'teacher', 'skillfully', 'remind', 'students', 'protocol', 'simultaneously', 'clarifying', 'deepening', 'discussion']",3,"['see', 'student', 'discussion', 'students', 'step_illuminating', 'focusing_one', 'thinking', 'productive_talk', 'mathais', 'student_turn']",0.9862002730369568
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:45:38pm EDT,SaDeCuollo,"Throughout the time in which we used the &quot;productive talk&quot; lens\, I found it really helpful to pay careful attention to the talk moves that the teacher was using. Her language was simple\, firm\, and to the point. For example\, the teacher says\, &quot;Let&#039;s make sure everyone&#039;s looking at Mathias to show that we are listening to him.&quot; Her direct and clear statement reminds me of Lemov&#039;s moves in &quot;Teach Like a Champion.&quot; She is very clear in what students should do and reinforces an expectation of effective classroom discussion early on. When we used the &quot;Science Practices&quot; lens\, I found it fun to really find out those places where students were beginning to conduct their own investigations. What a time to celebrate as a teacher! Finally\, when we use the &quot;zoom in&quot; lens to look at Mathais&#039; talk\, I found that honoring every single student contribution is what matters most. I feel that listening to one another is one of the best gifts we can give to another person. Listening to someone can empower others to feel safe and to build confidence\, and it is through this lens that I found to be the most illuminating. ","['throughout', 'time', 'used', 'productive_talk', 'lens_found', 'really', 'helpful', 'pay', 'careful', 'attention', 'talk_moves', 'teacher', 'using', 'language', 'simple', 'firm', 'point', 'example', 'teacher', 'says', 'let', 'make_sure', 'everyone', 'looking', 'mathias', 'show', 'listening', 'him.', 'direct', 'clear', 'statement', 'reminds', 'lemov', 'moves', 'teach', 'like', 'champion.', 'clear', 'students', 'reinforces', 'expectation', 'effective', 'classroom_discussion', 'early', 'used', 'science_practices', 'lens_found', 'fun', 'really', 'find', 'places', 'students', 'beginning', 'conduct', 'investigations', 'time', 'celebrate', 'teacher', 'finally', 'use', 'zoom', 'lens', 'look', 'mathais', 'talk', 'found', 'honoring', 'every', 'single', 'student', 'contribution', 'matters', 'feel', 'listening', 'one_another', 'one', 'best', 'gifts', 'give', 'another', 'person', 'listening', 'someone', 'empower', 'others', 'feel', 'safe', 'build', 'confidence', 'lens_found', 'illuminating']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.9908848404884338
