,timestamp,name,text,tokens,bigrams,most_probable_topic,topic_terms,topic_probability
0,[00:00:04.19],Jean,"Uh BlueJeans has this wonderful ability to uh to record, so uh do you have Liz the- the set of questions in front of you?","['bluejeans', 'wonderful', 'ability', 'record', 'liz', 'set', 'questions', 'front']","['bluejeans', 'wonderful', 'ability', 'record', 'liz', 'set', 'questions', 'front']",1,"['know', 'districts', 'time', 'science', 'state', 'ngsx', ""n't"", 'wan_na', 'one', 'connecticut']",0.9134426712989807
1,[00:00:15.14],Liz,"I sure do, and I took some time as I was sitting outside by the pool yesterday afternoon[laughters] to write down some of my thoughts because well first of all it's been three and a half years since I stepped out out the fray um and the period that we were reflecting on it is much more than a moment in time, in other words you know it's the adoption for Connecticut of NGSX in November 2015 was- was the culmination of many years of preliminary work so- you know I had to you know go back through my recollection of when did that start and what were the pivotal moments, so it was- it was actually a nice journey for me to take, um and especially--","['sure', 'took', 'time', 'sitting', 'outside', 'pool', 'yesterday', 'afternoon', 'write', 'thoughts', 'well', 'first', 'three', 'half', 'years', 'since', 'stepped', 'fray', 'period', 'reflecting', 'much', 'moment', 'time', 'words', 'know', 'adoption', 'connecticut', 'ngsx', 'november', '2015', 'culmination', 'many', 'years', 'preliminary', 'work', 'know', 'know', 'go', 'back', 'recollection', 'start', 'pivotal', 'moments', 'actually', 'nice', 'journey', 'take', 'especially']","['sure', 'took', 'time', 'sitting', 'outside', 'pool', 'yesterday', 'afternoon', 'write', 'thoughts', 'well', 'first', 'three', 'half', 'years', 'since', 'stepped', 'fray', 'period', 'reflecting', 'much', 'moment', 'time', 'words', 'know', 'adoption', 'connecticut', 'ngsx', 'november', '2015', 'culmination', 'many', 'years', 'preliminary', 'work', 'know', 'know', 'go_back', 'recollection', 'start', 'pivotal', 'moments', 'actually', 'nice', 'journey', 'take', 'especially']",1,"['know', 'districts', 'time', 'science', 'state', 'ngsx', ""n't"", 'wan_na', 'one', 'connecticut']",0.9836716651916504
2,[00:01:08.00],Jean,OV:Well then you're ready to kind of dive into that first question[Liz:I-am.] adoption and- and as you said what were the challenges what were- what was the particularity of the situation in Connecticut in adopting NGSX cus I do remember this was a slog um.,"['well', 'ready', 'kind', 'dive', 'first', 'question', 'adoption', 'said', 'challenges', 'particularity', 'situation', 'connecticut', 'adopting', 'ngsx', 'cus', 'remember', 'slog']","['well', 'ready', 'kind', 'dive', 'first_question', 'adoption', 'said', 'challenges', 'particularity', 'situation', 'connecticut', 'adopting', 'ngsx', 'cus', 'remember', 'slog']",2,"['ngsx', 'teachers', 'think', 'know', ""n't"", 'state', 'one', 'remember', 'right', 'would']",0.9548732042312622
3,[00:01:29.10],Liz,"Well you know what I think um[1.5-second-pause] I think in hindsight that the tuyeres that elapsed between NGSX publication in 2013 and Connecticut adoption in 2015 they were really essential years we were certainly not among the lead states that participated in NGSX development and as the state science leader um I knew that that could have put us at a disadvantage, we weren't in the spotlight we weren't perceived as uh one of the [air-quote]leading states um and I didn't want us to be on the backburner I didn't want Connecticut to be an after thought um, and it was that strategic thinking um and- and our MSP grant that- that led to the connection between Sarah Michaels and me, um and I think it must have been- let's see when did you roll out the very early stage of NGSX as one of the first BCSSE meetings? Am I right?","['well', 'know', 'think', 'leading', 'states', ""n't"", 'want', 'us', 'backburner', ""n't"", 'want', 'connecticut', 'thought', 'strategic', 'thinking', 'msp', 'grant', 'led', 'connection', 'sarah', 'michaels', 'think', 'must', 'let', 'see', 'roll', 'early', 'stage', 'ngsx', 'one', 'first', 'bcsse', 'meetings', 'right']","['well', 'know', 'think', 'leading', 'states', ""n't_want"", 'us', 'backburner', ""n't_want"", 'connecticut', 'thought', 'strategic', 'thinking', 'msp_grant', 'led', 'connection', 'sarah', 'michaels', 'think', 'must', 'let', 'see', 'roll', 'early', 'stage', 'ngsx', 'one', 'first', 'bcsse', 'meetings', 'right']",3,"['know', 'think', 'ngsx', 'science', 'teachers', 'framework', ""n't"", 'connecticut', 'first', 'really']",0.9757824540138245
4,[00:02:58.00],Jean,That's right that's- that's- when we uh Brian and Sarah and- uh I was there[Liz:OV] and we did it was part- it was that initial rollout and then I remember that was the beginning of our conversation.,"['right', 'brian', 'sarah', 'part', 'initial', 'rollout', 'remember', 'beginning', 'conversation']","['right', 'brian', 'sarah', 'part', 'initial', 'rollout', 'remember', 'beginning', 'conversation']",0,"[""n't"", 'think', 'know', 'science', 'state', 'would', 'ngsx', 'get', 'time', 'standards']",0.5936119556427002
5,[00:03:08.17],Liz,OV:I remember [indistinct] it was (BU),"['remember', 'bu']","['remember', 'bu']",2,"['ngsx', 'teachers', 'think', 'know', ""n't"", 'state', 'one', 'remember', 'right', 'would']",0.7476071119308472
6,[00:03:16.00],Liz,"That was the beginning of our conversation, and I'll- because [laughs]this (tongue's) kind of funny I'm gonna be blunt with you somehow I needed to get your attention[1-5.second-pause] as Connecticut represented it because there were all these other lead states science leaders who were buzzing around and I- I could sense it everbody's excitement after your presentation and you had limited slots for how many states, was it 7 maybe I remember? That you were willing to take in that first.","['beginning', 'conversation', 'connecticut', 'represented', 'lead', 'states', 'science', 'leaders', 'buzzing', 'around', 'could', 'sense', 'everbody', 'excitement', 'presentation', 'limited', 'slots', 'many', 'states', '7', 'maybe', 'remember', 'willing', 'take', 'first']","['beginning', 'conversation', 'connecticut', 'represented', 'lead', 'states', 'science', 'leaders', 'buzzing', 'around', 'could', 'sense', 'everbody', 'excitement', 'presentation', 'limited', 'slots', 'many', 'states', '7', 'maybe', 'remember', 'willing', 'take', 'first']",3,"['know', 'think', 'ngsx', 'science', 'teachers', 'framework', ""n't"", 'connecticut', 'first', 'really']",0.822523832321167
7,[00:03:52.00],Jean, Well it started out with 10 that was our but- but we took on more.,"['well', 'started', '10', 'took']","['well', 'started', '10', 'took']",1,"['know', 'districts', 'time', 'science', 'state', 'ngsx', ""n't"", 'wan_na', 'one', 'connecticut']",0.8462247848510742
8,[00:03:57.29],Liz,"[laughs]We do. So I thought well how am I gonna get to the front of the line um uh so in any case that was the beginning both seeing NGSX and I think at the same conference is when Sarah did her presentation about the commnalities between common core literacy and NGSX and she did accountable talk[Jean:Right] and that was my- I didn't know Sarah before that but I was so impressed by her presentation and the videos and the teacher's talk moves so I think I approached her and said you know what teachers in Connecticut need this kind of mind expansion, and I contacted her uh to see if she'd be interested in being a partner on the MSP grant so I did a little bit of priming the pump cus MSP is a grant program is a very funky system um you know they're supposed to be competitive grants and as a competitive grant there's only so much- uh that the state can say this is what we want, so within those limitations and restrictions I reached out to her in short she said oh you know I'm so flat out busy I got all these NGSX stuff going on and I'm thinking what- what was going on and what are you doing you know and how is that working um, and that's what I think led to what turned out to be I think in your mind Jean the sort of um unique or distinctive focus that we in Connecticut wanted to take which is my higher ed science faculty really need to get- to dive into the framework the NGSX the teacher's talk moves we- we need to up the ante on how our new teachers are being trained, and right now we have this very um amorphous group of people who teach science course and I think that intrigued you Jean this whole- you know we need to take a pre-service teacher approach um as well as focusing on the in-service teachers, so we always have that 2 prongs effort and that was the NEXUS force that was the beginning, seeing NGSX meeting you and Jean and thinking I need to get my higher ed people in on this somehow, and I think- I think that got the foot in the door for us because I don't know that anybody else was either able to or was thinking along those lines at that point, this goes way back this goes back to--","[""n't"", 'know', 'sarah', 'impressed', 'presentation', 'videos', 'teacher', 'talk', 'moves', 'think', 'approached', 'said', 'know', 'teachers', 'connecticut', 'need', 'kind', 'mind', 'expansion', 'contacted', 'see', 'interested', 'partner', 'msp', 'grant', 'little', 'bit', 'priming', 'pp', 'cus', 'msp', 'grant', 'program', 'funky', 'system', 'know', 'supposed', 'competitive', 'grants', 'competitive', 'grant', 'much', 'state', 'say', 'want', 'within', 'limitations', 'restrictions', 'reached', 'short', 'said', 'oh', 'know', 'flat', 'busy', 'got', 'ngsx', 'stuff', 'going', 'thinking', 'going', 'know', 'working', 'think', 'led', 'turned', 'think', 'mind', 'jean', 'sort', 'unique', 'distinctive', 'focus', 'connecticut', 'wanted', 'take', 'higher', 'ed', 'science', 'faculty', 'really', 'need', 'get', 'dive', 'framework', 'ngsx', 'teacher', 'talk', 'moves', 'need', 'ante', 'new', 'teachers', 'trained', 'right', 'amorphous', 'group', 'people', 'teach', 'science', 'course', 'think', 'intrigued', 'jean', 'whole', 'know', 'need', 'take', 'preservice', 'teacher', 'approach', 'well', 'focusing', 'inservice', 'teachers', 'always', '2', 'prongs', 'effort', 'nexus', 'force', 'beginning', 'seeing', 'ngsx', 'meeting', 'jean', 'thinking', 'need', 'get', 'higher', 'ed', 'people', 'somehow', 'think', 'think', 'got', 'foot', 'door', 'us', ""n't"", 'know', 'anybody', 'else', 'either', 'able', 'thinking', 'along', 'lines', 'point', 'goes', 'way', 'back', 'goes', 'back']","[""n't"", 'know', 'sarah', 'impressed', 'presentation', 'videos', 'teacher', 'talk_moves', 'think', 'approached', 'said', 'know', 'teachers', 'connecticut', 'need', 'kind', 'mind', 'expansion', 'contacted', 'see', 'interested', 'partner', 'msp_grant', 'little_bit', 'priming', 'pp', 'cus', 'msp_grant', 'program', 'funky', 'system', 'know', 'supposed', 'competitive', 'grants', 'competitive', 'grant', 'much', 'state', 'say', 'want', 'within', 'limitations', 'restrictions', 'reached', 'short', 'said', 'oh', 'know', 'flat', 'busy', 'got', 'ngsx', 'stuff', 'going', 'thinking', 'going', 'know', 'working', 'think', 'led', 'turned', 'think', 'mind', 'jean', 'sort', 'unique', 'distinctive', 'focus', 'connecticut', 'wanted', 'take', 'higher_ed', 'science', 'faculty', 'really', 'need', 'get', 'dive', 'framework', 'ngsx', 'teacher', 'talk_moves', 'need', 'ante', 'new', 'teachers', 'trained', 'right', 'amorphous', 'group', 'people', 'teach', 'science', 'course', 'think', 'intrigued', 'jean', 'whole', 'know', 'need', 'take', 'preservice', 'teacher', 'approach', 'well', 'focusing', 'inservice', 'teachers', 'always', '2', 'prongs', 'effort', 'nexus', 'force', 'beginning', 'seeing', 'ngsx', 'meeting', 'jean', 'thinking', 'need', 'get', 'higher_ed', 'people', 'somehow', 'think', 'think', 'got', 'foot', 'door', 'us', ""n't"", 'know', 'anybody', 'else', 'either', 'able', 'thinking', 'along', 'lines', 'point', 'goes', 'way', 'back', 'goes', 'back']",3,"['know', 'think', 'ngsx', 'science', 'teachers', 'framework', ""n't"", 'connecticut', 'first', 'really']",0.9946430921554565
9,[00:07:16.15],Jean,"OV:No I- you're- you're right I think what was unique as you pointed out is this coupling of- uh partnership around the MSP grant that we eventually worked through and developed the details of, um but it was always in the forefront that teacher education wasn't the only audience wasn't the only group we were working to bring in to the experience of NGSX but it was also the classroom teacher, but you were very clear you wanted to start with the teachers at the community and that was unique there was no doubt about it.","['right', 'think', 'unique', 'pointed', 'coupling', 'partnership', 'around', 'msp', 'grant', 'eventually', 'worked', 'developed', 'details', 'always', 'forefront', 'teacher', 'education', ""n't"", 'audience', ""n't"", 'group', 'working', 'bring', 'experience', 'ngsx', 'also', 'classroom', 'teacher', 'clear', 'wanted', 'start', 'teachers', 'community', 'unique', 'doubt']","['right', 'think', 'unique', 'pointed', 'coupling', 'partnership', 'around', 'msp_grant', 'eventually', 'worked', 'developed', 'details', 'always', 'forefront', 'teacher', 'education', ""n't"", 'audience', ""n't"", 'group', 'working', 'bring', 'experience', 'ngsx', 'also', 'classroom', 'teacher', 'clear', 'wanted', 'start', 'teachers', 'community', 'unique', 'doubt']",2,"['ngsx', 'teachers', 'think', 'know', ""n't"", 'state', 'one', 'remember', 'right', 'would']",0.9778611063957214
